ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
CHRW,6.5921,-4.0832,6.9996,-3.7665,3.8432,-3.9988,2.8092,-0.7847,0.7683,19.99,-11.21,42.61,17.13
NOC,52.2439,-4.0473,24.0365,-15.1463,19.9741,-20.9826,15.9363,4.6084,3.9818,19.93,19.17,30.5,23.2
DHR,39.1867,-8.3462,21.1125,-14.4996,9.303,-9.9818,-8.3462,-7.7273,1.849,19.88,-36.6,-21.3,-12.67
AAPL,24.0345,-0.0777,12.7742,-7.6271,8.9137,-10.6162,12.1291,-5.8348,1.7706,19.86,-45.68,50.47,8.22
YUM,9.9129,-0.1547,6.3693,-8.3621,6.4246,-9.7153,7.1752,1.8154,1.2681,19.74,28.5,72.38,40.21
CRSP,25.3808,-10.8944,28.3902,-14.234,16.0698,-13.3389,-4.822,0.3016,3.0842,19.19,1.06,-19.0,0.42
DE,55.7071,-4.3212,37.4724,-17.3845,16.3646,-15.5254,37.4131,21.2705,3.1264,19.1,56.76,67.16,47.68
ANF,33.606,-8.7074,22.8607,-19.1347,14.5419,-10.9781,4.4432,-10.257,2.757,18.96,-44.87,13.22,-4.23
MRK,10.5337,-4.7386,6.3975,-6.5163,3.7531,-3.9568,-4.7386,-4.6506,0.7082,18.87,-72.69,-44.99,-32.94
CVX,19.3771,-6.3839,14.3901,-8.6656,8.9749,-9.9806,1.9903,-1.0986,1.6899,18.83,-7.63,10.27,7.16
INTC,4.7203,-5.842,3.8057,-4.5488,2.6285,-3.7141,-4.0113,-0.3507,0.4844,18.43,-9.22,-84.98,-25.26
PINS,12.4565,-6.6946,11.524,-8.4486,5.6212,-5.0844,0.1569,0.616,1.0302,18.33,5.35,1.26,8.31
EBAY,8.4298,-2.5565,4.9825,-4.6853,3.131,-2.4049,7.0889,3.4949,0.5587,17.84,70.14,84.09,57.36
